0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
-0.0015549791,-0.65977305,-0.21743287,0.010389889,-0.6927584,-0.20485488,0.00977433,-0.692761,-0.20251536,0.008936441,-0.69211966,-0.19456658,-0.01580047,-0.68946785,-0.19236192,-0.022544213,-0.6906714,-0.20238417,-0.019160744,-0.6933293,-0.20573021,0.06263632,-0.6618541,-0.10870723,-0.0754778,-0.6621868,-0.09787355,0.024765192,-0.63011557,-0.18374896,-0.017461529,-0.62554294,-0.1771865,0.17214642,-0.45962524,-0.08681868,-0.16809344,-0.48947003,-0.060282703,0.25575507,-0.2348278,-0.078509495,-0.30163315,-0.40202352,-0.11365385,0.2993819,-0.05448292,-0.15676643,-0.25216842,-0.5586681,-0.2425526,0.29522893,-0.002153604,-0.17475957,-0.22251602,-0.5626612,-0.27476275,0.27020076,-0.013342605,-0.20754908,-0.2268397,-0.628385,-0.26699325,0.2824305,-0.051127847,-0.16313246,-0.24794735,-0.5678343,-0.24886777,0.11191847,-0.006452335,-0.010058382,-0.111415744,0.0055533308,0.012357286,0.1766211,0.37751183,-0.05316071,-0.116543345,0.37775624,-0.009028095,0.3042531,0.6972034,0.0907141,-0.04137735,0.7176025,0.122307345,0.3208036,0.7428805,0.09923623,-0.04810776,0.7686829,0.13192469,0.34335768,0.7958816,-0.009722241,-0.10676602,0.8278367,0.036442585
-0.009270393,-0.6575948,-0.22672713,-0.0004402666,-0.6904332,-0.21413074,0.00044283998,-0.69083893,-0.21009359,-0.0016819708,-0.6902679,-0.20416093,-0.027193284,-0.6871954,-0.20160171,-0.03321562,-0.6880641,-0.21166106,-0.029314056,-0.69060004,-0.21476272,0.052236274,-0.66240495,-0.11321688,-0.090413466,-0.6579077,-0.11166837,0.016826436,-0.62814915,-0.19092517,-0.026011523,-0.6225364,-0.18642989,0.16278008,-0.4612579,-0.08249564,-0.17943905,-0.47769502,-0.07527032,0.23138371,-0.2313004,-0.070932835,-0.30754408,-0.3565206,-0.13221623,0.2654082,-0.05157945,-0.14725702,-0.26241326,-0.4749481,-0.26758063,0.25534037,-0.00018613042,-0.16583571,-0.23369516,-0.47292542,-0.3031597,0.22940888,-0.010080301,-0.20252627,-0.24022408,-0.53671527,-0.29543597,0.2455425,-0.04848558,-0.1532957,-0.25691864,-0.48233184,-0.27393088,0.11317744,-0.0063444036,-0.00036094084,-0.11291176,0.00535717,0.0022874186,0.17656866,0.38081107,-0.048453834,-0.11493216,0.37939167,-0.021786071,0.27970946,0.70817757,0.09749015,-0.04998017,0.7172938,0.11153388,0.29515475,0.7534518,0.103392154,-0.057949368,0.76796365,0.1214033,0.33024272,0.8060108,-0.0041266903,-0.10896315,0.82761896,0.018744143
-0.016460788,-0.6556753,-0.2345116,-0.010088602,-0.6880961,-0.21892865,-0.008789753,-0.68854177,-0.21641567,-0.012902168,-0.68846387,-0.20977399,-0.03758567,-0.6848265,-0.20836651,-0.04460597,-0.6857997,-0.21785572,-0.03893473,-0.68823624,-0.22034194,0.041419964,-0.6628106,-0.114845574,-0.10455503,-0.6547461,-0.12039769,0.009456448,-0.62629384,-0.19575123,-0.035932068,-0.619257,-0.19343837,0.14986128,-0.46352446,-0.077328,-0.18924199,-0.4700264,-0.08548787,0.20520759,-0.23644926,-0.07188269,-0.316275,-0.3231383,-0.14328624,0.22840549,-0.06427472,-0.14371969,-0.28738326,-0.4015102,-0.28697133,0.21792544,-0.0132977,-0.16777924,-0.26005018,-0.39815617,-0.3259454,0.19104467,-0.024068002,-0.2047287,-0.2703389,-0.45860168,-0.31970495,0.20993166,-0.060824312,-0.15161069,-0.28168097,-0.405449,-0.29314113,0.11388754,-0.0060939104,0.0074969567,-0.11380585,0.005168981,-0.005253055,0.17871979,0.38397178,-0.046190538,-0.11290587,0.38105762,-0.03188449,0.25867993,0.7186386,0.09588006,-0.05768863,0.71863884,0.09790938,0.27376014,0.7634303,0.10069403,-0.06689508,0.76929575,0.10803807,0.31964508,0.81766987,-0.0063084145,-0.11000674,0.8285493,-0.00055968406
-0.024558697,-0.6544725,-0.2417324,-0.021251787,-0.6867909,-0.22443104,-0.019006703,-0.6880664,-0.2227506,-0.023182433,-0.6876325,-0.21830687,-0.048082262,-0.68324995,-0.21631524,-0.05488833,-0.68400675,-0.22534251,-0.049252193,-0.686292,-0.22598849,0.031067416,-0.6641761,-0.11950602,-0.116768666,-0.6523305,-0.12833716,0.0012645186,-0.62564206,-0.20184804,-0.04440952,-0.6170248,-0.19866516,0.13818103,-0.4672455,-0.07701391,-0.19478506,-0.4629412,-0.09210881,0.18727422,-0.24420658,-0.07528267,-0.32154706,-0.30367005,-0.148622,0.1921921,-0.08099904,-0.13993958,-0.30348137,-0.34984225,-0.29245737,0.1825093,-0.034168366,-0.16794771,-0.28228214,-0.342654,-0.3332026,0.15645792,-0.04240416,-0.20256053,-0.29099023,-0.3989591,-0.32911962,0.17654084,-0.08011533,-0.14835128,-0.29883134,-0.3521677,-0.3004846,0.11406448,-0.00582057,0.012853086,-0.114090376,0.005040717,-0.01007387,0.17998807,0.38332853,-0.04362793,-0.11420215,0.38054827,-0.040836886,0.23929967,0.7206743,0.101175785,-0.07013319,0.7161586,0.0903152,0.2542149,0.7645321,0.1044612,-0.07950948,0.76619405,0.10130015,0.30824494,0.82120013,0.0008170927,-0.11847042,0.8255208,-0.008791806
-0.033417255,-0.6547954,-0.24556734,-0.032344278,-0.6869866,-0.22697112,-0.029316701,-0.6884077,-0.22431949,-0.032754168,-0.6880872,-0.22303444,-0.058676794,-0.68308026,-0.2211191,-0.064887,-0.68322134,-0.22975615,-0.059624873,-0.68577003,-0.22997224,0.01998906,-0.66641724,-0.12090677,-0.12670286,-0.6511682,-0.1334221,-0.008189219,-0.62659544,-0.20476498,-0.05267262,-0.6165524,-0.20173864,0.12681146,-0.47265437,-0.0769654,-0.20042776,-0.45803156,-0.09767274,0.17293891,-0.25597173,-0.07910556,-0.32531437,-0.29109624,-0.14941917,0.16090329,-0.10340233,-0.13867955,-0.3178591,-0.30654088,-0.28952986,0.14963888,-0.06248705,-0.17118666,-0.3017918,-0.29995972,-0.32985756,0.124345146,-0.06583756,-0.20248497,-0.3083893,-0.34945896,-0.33012748,0.14722285,-0.10444049,-0.14835398,-0.3142112,-0.30917296,-0.2996893,0.1140762,-0.0056720166,0.016416362,-0.11417454,0.0050124237,-0.013612306,0.18114638,0.38244292,-0.04269959,-0.1164122,0.37974757,-0.047143076,0.2241681,0.72166383,0.10549239,-0.084041126,0.7124873,0.08536236,0.2382208,0.76408994,0.10748172,-0.09281473,0.76240224,0.096778944,0.2994031,0.82296455,0.0063232575,-0.13068984,0.822171,-0.01151979
-0.04202312,-0.6551082,-0.24656503,-0.042105403,-0.6874879,-0.22720446,-0.038664162,-0.6889325,-0.22454146,-0.04116912,-0.68888104,-0.2246523,-0.06796258,-0.6831296,-0.22389461,-0.07334195,-0.68279594,-0.23213764,-0.06911401,-0.68555826,-0.23151524,0.009572489,-0.6686371,-0.121034555,-0.13471194,-0.65052587,-0.13586202,-0.01634512,-0.62774634,-0.20630054,-0.05975083,-0.61680627,-0.20290375,0.11668504,-0.47841355,-0.07612345,-0.20444885,-0.45422137,-0.099990554,0.16366585,-0.2695783,-0.08427635,-0.3271785,-0.27851558,-0.14585033,0.13397224,-0.13066918,-0.14103368,-0.3348544,-0.26600847,-0.27895716,0.11911449,-0.094472975,-0.17663763,-0.3235723,-0.25550893,-0.3164624,0.09384813,-0.09461357,-0.20311542,-0.32746375,-0.29864442,-0.321633,0.12054005,-0.1333304,-0.15096666,-0.33104366,-0.2670086,-0.2910356,0.11374055,-0.0055680643,0.018890155,-0.11386829,0.0049866703,-0.016258286,0.180986,0.3808372,-0.04296703,-0.11891332,0.37823313,-0.05284324,0.20925473,0.7202999,0.10794922,-0.09996143,0.70676064,0.08069289,0.22109754,0.76222736,0.10952348,-0.10734526,0.75682044,0.092554495,0.28725818,0.8226291,0.012449042,-0.14268339,0.8171713,-0.013455167
-0.049628034,-0.6556225,-0.24770996,-0.050491244,-0.68834174,-0.22727092,-0.046576414,-0.689888,-0.22554988,-0.048780028,-0.6900091,-0.22581606,-0.07598916,-0.68339103,-0.22626352,-0.0803309,-0.6828512,-0.234289,-0.07712618,-0.68554497,-0.23251271,0.00044050303,-0.67094564,-0.12222832,-0.1408958,-0.65038234,-0.13789114,-0.023045914,-0.6290713,-0.20832759,-0.0654893,-0.6176487,-0.20459993,0.10873777,-0.48437917,-0.07664655,-0.20708878,-0.45129517,-0.10131742,0.15890957,-0.28460783,-0.09287539,-0.3273849,-0.26657006,-0.14089277,0.109870486,-0.16123202,-0.14894149,-0.35098916,-0.22779135,-0.2653146,0.09066233,-0.12848786,-0.18814398,-0.3458757,-0.20922929,-0.29869732,0.06497769,-0.12772663,-0.20766598,-0.34678933,-0.24382433,-0.3097248,0.096116535,-0.16507572,-0.15851885,-0.34799963,-0.22461344,-0.27908486,0.11316108,-0.00543501,0.020537794,-0.11328606,0.004927192,-0.018312948,0.18062355,0.3789871,-0.043413486,-0.1222675,0.37628883,-0.05736585,0.19494033,0.718534,0.10934452,-0.11897659,0.7011285,0.075901784,0.20423622,0.7605688,0.11056978,-0.124548934,0.751037,0.08798644,0.27403456,0.8218262,0.018028239,-0.1572517,0.8120171,-0.015545417
-0.055378918,-0.6561051,-0.2484723,-0.056839496,-0.68919015,-0.22701348,-0.053088702,-0.6908477,-0.22663458,-0.055024557,-0.6910678,-0.22617358,-0.082140446,-0.6834979,-0.22748946,-0.085419744,-0.6829941,-0.23576283,-0.082506865,-0.68559885,-0.2329311,-0.0072415434,-0.6730726,-0.122811615,-0.14538577,-0.65046173,-0.13911879,-0.028073022,-0.6302999,-0.20986721,-0.06967546,-0.6187316,-0.20614551,0.10247633,-0.49005538,-0.07740828,-0.20885874,-0.44933847,-0.10279942,0.15593016,-0.30029133,-0.102204174,-0.32668975,-0.25578138,-0.13328718,0.08820748,-0.19221352,-0.15833892,-0.36684248,-0.18900456,-0.24800585,0.06588143,-0.15955888,-0.20084843,-0.36743557,-0.16072887,-0.27673078,0.03856871,-0.1586396,-0.21451336,-0.36441484,-0.18619663,-0.29325503,0.074119136,-0.1954881,-0.16836761,-0.36486387,-0.17891233,-0.2624901,0.11241105,-0.0052597686,0.022091523,-0.11245762,0.0048434525,-0.020194542,0.18068737,0.37654364,-0.04475719,-0.12638623,0.3739478,-0.062253587,0.18258399,0.7165749,0.1074964,-0.1392364,0.69573796,0.06951168,0.18947044,0.7585884,0.10921494,-0.1432786,0.74530905,0.08044103,0.26251978,0.82025504,0.020143138,-0.17412822,0.806594,-0.01967781
-0.058813322,-0.65608734,-0.25003862,-0.06059281,-0.6893837,-0.22782297,-0.05709729,-0.69123405,-0.22874585,-0.058462918,-0.6915184,-0.22694856,-0.08608351,-0.6832634,-0.22937275,-0.08848738,-0.6827741,-0.23729508,-0.08598128,-0.6853014,-0.23376048,-0.012057844,-0.67430127,-0.12375031,-0.14792624,-0.65047455,-0.14059216,-0.031232513,-0.63081527,-0.21134186,-0.07226454,-0.619376,-0.2081676,0.098404296,-0.49421683,-0.07874204,-0.20949271,-0.4479625,-0.10431898,0.15709066,-0.3146312,-0.11289919,-0.32484788,-0.2459531,-0.12480722,0.07310669,-0.22206111,-0.17122881,-0.38093793,-0.15393196,-0.2307019,0.047887757,-0.18959582,-0.21671508,-0.3857721,-0.11685182,-0.2554291,0.018857526,-0.18913606,-0.22586237,-0.3799903,-0.13422133,-0.27641153,0.05866638,-0.22526924,-0.18223514,-0.37857524,-0.1388909,-0.24637927,0.11150917,-0.0049851867,0.022935841,-0.11147574,0.004659171,-0.021131294,0.17943957,0.37433153,-0.0470413,-0.13101093,0.3712242,-0.0669043,0.17220844,0.7151972,0.1036159,-0.15850449,0.6906989,0.06295284,0.17674117,0.7568766,0.10530635,-0.1614279,0.739543,0.07235838,0.2508772,0.8192238,0.019231435,-0.19121522,0.8011386,-0.024609763
-0.059929907,-0.6562909,-0.2511137,-0.061587498,-0.68979067,-0.228013,-0.05847234,-0.6917716,-0.23093066,-0.05932134,-0.6921345,-0.22773826,-0.087541625,-0.68338567,-0.22991772,-0.08930965,-0.6830919,-0.23815913,-0.0866323,-0.6854996,-0.23450963,-0.013344246,-0.67526627,-0.12392091,-0.14866987,-0.6508015,-0.14115809,-0.03180066,-0.63128996,-0.21181911,-0.0731161,-0.62030226,-0.21005207,0.09685812,-0.49717984,-0.0784711,-0.20894709,-0.44720516,-0.1051614,0.16192193,-0.3273764,-0.12140772,-0.32056516,-0.23788492,-0.116036646,0.06395101,-0.25423014,-0.18244463,-0.39054105,-0.12516128,-0.2123358,0.03555107,-0.22315587,-0.23164959,-0.39655325,-0.07913669,-0.23379147,0.0026433324,-0.2210966,-0.23731975,-0.38749945,-0.09242194,-0.2570423,0.049273722,-0.25665954,-0.19563827,-0.38581866,-0.10547786,-0.22850825,0.11071561,-0.0046558217,0.023222184,-0.11063502,0.004415862,-0.021903336,0.17673838,0.3716381,-0.047402848,-0.13578272,0.36737517,-0.07282667,0.16204259,0.7107084,0.10388447,-0.17337403,0.6844414,0.056064043,0.16442898,0.7518043,0.10705,-0.17620362,0.73154956,0.063789025,0.23895375,0.8150042,0.022362938,-0.20493346,0.7936431,-0.0302139
